"Order Date","Order Number","Purchase Order Number","Brand Name","Product Name","Option Name","SKU","GTIN","Status","Tracking Numbers","Carriers","Quantity","Wholesale Price","Retail Price"
"January 16, 2026","YHC9SBB5W3",,"COMECO INC","Celestial Kisslock Bag","default","82313CN","789504223077","Delivered","9434636106111289517506","USPS","2","$18","$36"
"January 16, 2026","YHC9SBB5W3",,"COMECO INC","ROMANTASY DRAGON KISS LOCK BAG IN LINEN COTTON BLEND","default","85823cn","789504228898","Delivered","9434636106111289517506","USPS","2","$20","$40"
"January 16, 2026","YHC9SBB5W3",,"COMECO INC","Celestial Mushroom Kiss Lock Bag in Linen Cotton Blend Mater","default","IT85787CN","789504228874","Delivered","9434636106111289517506","USPS","2","$19.50","$39"
"January 16, 2026","YHC9SBB5W3",,"COMECO INC","Moon Moth Vintage Kisslock Bag","Black","IT84018CN-BK","789504225910","Delivered","9434636106111289517506","USPS","2","$19","$38"
"January 16, 2026","FAA4MY2FHZ",,"The Gilded Witch","Hollow Moon Earrings: Modern Witchy Jewelry","default","GW-HME-OS",,"Delivered","9400136106111277221437","USPS","1","$9","$20"
"January 16, 2026","FAA4MY2FHZ",,"The Gilded Witch","Hammered Moon Bracelet: Delicate Modern Witchy Jewelry","default","GW-HMB-OS",,"Delivered","9400136106111277221437","USPS","2","$12","$28"
"January 16, 2026","FAA4MY2FHZ",,"The Gilded Witch","Coffin Studs - Gold and Silver: Halloween Vampire Gothic","Silver","GW-CS-S",,"Delivered","9400136106111277221437","USPS","2","$9","$20"
"January 16, 2026","FAA4MY2FHZ",,"The Gilded Witch","Coffin Studs - Gold and Silver: Halloween Vampire Gothic","Gold","GW-CS-G",,"Delivered","9400136106111277221437","USPS","2","$9","$20"
"January 16, 2026","FAA4MY2FHZ",,"The Gilded Witch","Moon Phase Double Necklace: Stainless Steel & Enamel","default","GW-MPDN-OS",,"Delivered","9400136106111277221437","USPS","2","$21","$48"
"January 16, 2026","FAA4MY2FHZ",,"The Gilded Witch","Gossamer Guardian Spider Lariat: Halloween Jewelry","default","GW-GGSL-OS",,"Delivered","9400136106111277221437","USPS","2","$18","$40"
"January 16, 2026","4VNYN3G9H6",,"The Gilded Witch","Hollow Moon Earrings: Modern Witchy Jewelry","default","GW-HME-OS",,"Delivered","9400136106111277253131","USPS","1","$9","$20"
"November 13, 2025","ZS7DE59HRZ",,"Candles Meta","Green Gradient Set-4 Handmade Spiral Taper Holiday Candles","default","CM4P006-G1",,"Delivered","886189172202","FedEx","2","$17.99","$35.98"
"November 13, 2025","UBF6KCDFNW",,"Something Different Wholesale","Witching Hour White Sage Gothic Candle","default","MR_81223","5056131143722","Delivered","1ZX988820421618549","UPS","2","$4.90","$10.49"
"November 13, 2025","UBF6KCDFNW",,"Something Different Wholesale","Black Gothic Coffin Shaped Gothic Trinket Tray","default","DE_96425","5056131165120","Delivered","1ZX988820421618549","UPS","4","$6","$14.40"
"November 13, 2025","ZS7DE59HRZ",,"Candles Meta","2-Pack #17 Halloween Handmade Black Home Decor Taper Candles","default","CMHW017-B1-2",,"Delivered","886189172202","FedEx","3","$8.99","$17.98"
"November 13, 2025","ZS7DE59HRZ",,"Candles Meta","4-Packs Spring Metallic Red Handmade Spiral Taper Candles","default","CM4P008-R1",,"Delivered","886189172202","FedEx","2","$18.99","$37.98"
"November 13, 2025","ZS7DE59HRZ",,"Candles Meta","Christmas Red Handmade Spiral Taper Holiday Candles Set-4","default","CM4P005-R1",,"Delivered","886189172202","FedEx","2","$16.99","$33.98"
"November 13, 2025","ZS7DE59HRZ",,"Candles Meta","2pcs Halloween 3D Snake-Shaped Smokeless Taper Candle CM071","Black","CM071-B1",,"Delivered","886189172202","FedEx","2","$10.99","$21.98"
"November 13, 2025","ZS7DE59HRZ",,"Candles Meta","2pcs Halloween 3D Snake-Shaped Smokeless Taper Candle CM071","Gold","CM071-G2",,"Delivered","886189172202","FedEx","2","$10.99","$21.98"
"November 13, 2025","4Q7N2K42CK",,"Primitives by Kathy","Bird Branch Candle Holder","default","117597",,"Delivered","1ZX29W140390362870","UPS","4","$19.50","$44.85"
